date,region,cases
11/01/2020,DC,0.0
18/01/2020,DC,0.0
25/01/2020,DC,0.0
01/02/2020,DC,0.0
08/02/2020,DC,0.0
15/02/2020,DC,0.0
22/02/2020,DC,6.801834434728572
29/02/2020,DC,4.839658968214285
07/03/2020,DC,5.129075386242857
14/03/2020,DC,5.065382007028571
21/03/2020,DC,5.029725129228571
28/03/2020,DC,2.3731561446285716
04/04/2020,DC,1.1695348825714285
11/04/2020,DC,0.9256880412285714
18/04/2020,DC,0.2389162616
25/04/2020,DC,0.12735744314285713
02/05/2020,DC,0.3933050312571429
09/05/2020,DC,0.5066924110428572
16/05/2020,DC,0.2536473349142857
23/05/2020,DC,0.35050223667142855
30/05/2020,DC,0.25101867904285713
06/06/2020,DC,0.423274027
13/06/2020,DC,0.04640658242857142
20/06/2020,DC,0.0
27/06/2020,DC,0.00898704482857143
04/07/2020,DC,0.3324276655
11/07/2020,DC,0.19208175797142854
18/07/2020,DC,0.32733759735714285
25/07/2020,DC,0.31590013235714287
01/08/2020,DC,0.21054523560000002
08/08/2020,DC,0.6752997928428572
15/08/2020,DC,
22/08/2020,DC,
29/08/2020,DC,
05/09/2020,DC,
12/09/2020,DC,0.0
19/09/2020,DC,0.0
26/09/2020,DC,0.0
03/10/2020,DC,0.0
04/01/2020,DE,0.0
11/01/2020,DE,0.0
18/01/2020,DE,0.0
25/01/2020,DE,0.0
01/02/2020,DE,0.0
08/02/2020,DE,0.0
15/02/2020,DE,0.0
22/02/2020,DE,6.658930156224569
29/02/2020,DE,5.28988760611129
07/03/2020,DE,5.168447453816405
14/03/2020,DE,5.1108215636439835
21/03/2020,DE,4.562103184084417
28/03/2020,DE,3.1678334640511334
04/04/2020,DE,1.9691415704666233
11/04/2020,DE,1.1088760955181167
18/04/2020,DE,0.7193524779750142
25/04/2020,DE,0.5404545939823562
02/05/2020,DE,0.6293481685991295
09/05/2020,DE,0.676616863008083
16/05/2020,DE,0.3479538715157388
23/05/2020,DE,0.6290946432863562
30/05/2020,DE,0.5792197474267509
06/06/2020,DE,0.3270467791676667
13/06/2020,DE,0.20794623365531859
20/06/2020,DE,0.038386927753301506
27/06/2020,DE,0.044786088229177685
04/07/2020,DE,0.11972584657673732
11/07/2020,DE,0.21200188604043427
18/07/2020,DE,0.40085471993980565
25/07/2020,DE,0.379603048906571
01/08/2020,DE,0.20146405528685632
08/08/2020,DE,0.39497782699965944
15/08/2020,DE,
22/08/2020,DE,
29/08/2020,DE,
05/09/2020,DE,
12/09/2020,DE,0.0
19/09/2020,DE,0.0
26/09/2020,DE,0.0
03/10/2020,DE,0.0
04/01/2020,FL,0.0
11/01/2020,FL,0.0
18/01/2020,FL,0.0
25/01/2020,FL,0.0
01/02/2020,FL,0.0
08/02/2020,FL,0.0
15/02/2020,FL,0.0
22/02/2020,FL,4.266275995704873
29/02/2020,FL,3.489090243023466
07/03/2020,FL,3.7308312805713313
14/03/2020,FL,4.6803513803212935
21/03/2020,FL,6.358323955057385
28/03/2020,FL,3.5492076437819526
04/04/2020,FL,1.7261748457637929
11/04/2020,FL,1.187094180590623
18/04/2020,FL,0.6881132881102312
25/04/2020,FL,0.4497913495772311
02/05/2020,FL,0.4258412607941176
09/05/2020,FL,0.30921919408124743
16/05/2020,FL,0.29251435167707346
23/05/2020,FL,0.4601826912769587
30/05/2020,FL,0.4665814195102658
06/06/2020,FL,0.6905090645185152
13/06/2020,FL,0.7870366427568899
20/06/2020,FL,0.4874393711092132
27/06/2020,FL,0.5162878714674167
04/07/2020,FL,0.7775006604330537
11/07/2020,FL,0.7531708794574965
18/07/2020,FL,0.6255304137453708
25/07/2020,FL,0.6433758305550141
01/08/2020,FL,0.4740046898090748
08/08/2020,FL,0.477941109101857
15/08/2020,FL,
22/08/2020,FL,
29/08/2020,FL,
05/09/2020,FL,
12/09/2020,FL,0.0
19/09/2020,FL,0.0
26/09/2020,FL,0.0
03/10/2020,FL,0.0
04/01/2020,GA,0.0
11/01/2020,GA,0.0
18/01/2020,GA,0.0
25/01/2020,GA,0.0
01/02/2020,GA,0.0
08/02/2020,GA,0.0
15/02/2020,GA,0.0
22/02/2020,GA,4.955055000949977
29/02/2020,GA,3.596124441970739
07/03/2020,GA,3.306879520613087
14/03/2020,GA,4.571658639768525
21/03/2020,GA,4.768977329944091
28/03/2020,GA,2.9416795321102756
04/04/2020,GA,1.4036126797517898
11/04/2020,GA,0.8598588507743549
18/04/2020,GA,0.43932363286075216
25/04/2020,GA,0.30998202313351964
02/05/2020,GA,0.34117923234098724
09/05/2020,GA,0.22616144246793696
16/05/2020,GA,0.11553704335580854
23/05/2020,GA,0.15246237923252948
30/05/2020,GA,0.2845226429327181
06/06/2020,GA,0.27591309178089146
13/06/2020,GA,0.19968030859279107
20/06/2020,GA,0.2798417107965123
27/06/2020,GA,0.18264406534322797
04/07/2020,GA,0.1927500684757202
11/07/2020,GA,0.5892031293555434
18/07/2020,GA,0.7406372941314697
25/07/2020,GA,0.2892424708966146
01/08/2020,GA,0.16081471747818793
08/08/2020,GA,0.5065936176375962
15/08/2020,GA,
22/08/2020,GA,
29/08/2020,GA,
05/09/2020,GA,
12/09/2020,GA,0.0
19/09/2020,GA,0.0
26/09/2020,GA,0.0
03/10/2020,GA,0.0
04/01/2020,IA,0.0
11/01/2020,IA,0.0
18/01/2020,IA,0.0
25/01/2020,IA,0.0
01/02/2020,IA,0.0
08/02/2020,IA,0.0
15/02/2020,IA,0.0
22/02/2020,IA,9.707957455982799
29/02/2020,IA,7.6204565741352
07/03/2020,IA,6.338663339692745
14/03/2020,IA,5.024830926049054
21/03/2020,IA,4.550426187707685
28/03/2020,IA,2.712175498235309
04/04/2020,IA,0.9702226165680018
11/04/2020,IA,0.30716776706298743
18/04/2020,IA,0.13800901031925153
25/04/2020,IA,0.13373635712412293
02/05/2020,IA,0.07220802345824294
09/05/2020,IA,0.08242149442088798
16/05/2020,IA,0.296098834013292
23/05/2020,IA,0.06865682218119928
30/05/2020,IA,0.018856468062491662
06/06/2020,IA,0.016703885534970674
13/06/2020,IA,0.08303083407710501
20/06/2020,IA,0.06008696003525021
27/06/2020,IA,0.17598154666933424
04/07/2020,IA,0.05250374778544158
11/07/2020,IA,0.2672504587058709
18/07/2020,IA,0.30924905030477684
25/07/2020,IA,0.23100085819279007
01/08/2020,IA,0.3034976765009341
08/08/2020,IA,0.16392332476455374
15/08/2020,IA,
22/08/2020,IA,
29/08/2020,IA,
05/09/2020,IA,
12/09/2020,IA,0.0
19/09/2020,IA,0.0
26/09/2020,IA,0.0
03/10/2020,IA,0.0
04/01/2020,ID,0.0
11/01/2020,ID,0.0
18/01/2020,ID,0.0
25/01/2020,ID,0.0
01/02/2020,ID,0.0
08/02/2020,ID,0.0
15/02/2020,ID,0.0
22/02/2020,ID,5.952424136440137
29/02/2020,ID,5.133631605106425
07/03/2020,ID,4.94715990157316
14/03/2020,ID,4.559981642711004
21/03/2020,ID,4.570768321171638
28/03/2020,ID,2.529606685598951
04/04/2020,ID,1.0089102068984348
11/04/2020,ID,0.7329714016561654
18/04/2020,ID,0.6419215736480788
25/04/2020,ID,0.614156330968514
02/05/2020,ID,0.08675960648760996
09/05/2020,ID,0.11922496634337555
16/05/2020,ID,0.21095133997632382
