date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wtravel_outside_state_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-11-14,202046,X,US,-18.0,-8.142857142857142,-3.2857142857142856,-34.285714285714285,-26.571428571428573,9.0,108.86000000000001,69766.0,586.0,,,,,,,,15.5,194504.33333333334,26829.0,245285.0,7896.0,1.1794938285714285,1.1959692,10947559.0,1023229.0,9664435.0,1188388.0,10874883.0
2020-11-21,202047,X,US,-19.571428571428573,-7.0,-7.142857142857143,-34.0,-25.857142857142858,9.142857142857142,108.08285714285715,81599.0,548.0,,,,,,,,17.6,200402.0,31304.333333333332,256091.0,10806.0,1.1687559857142857,1.1946738714285714,12150763.0,1203204.0,11402888.0,1297688.0,12729144.0
2020-11-28,202048,X,US,-24.714285714285715,-6.428571428571429,-7.571428571428571,-38.714285714285715,-40.57142857142857,12.285714285714286,101.09571428571428,85942.0,590.0,,,,,,,,18.3,203049.0,32503.666666666668,266879.0,10788.0,1.2112881142857141,1.2459156571428571,13332741.0,1181978.0,10373163.0,1207926.0,11610838.0
2020-12-05,202049,X,US,-19.857142857142858,-8.571428571428571,-16.0,-35.57142857142857,-26.571428571428573,9.857142857142858,103.77428571428572,94806.0,577.0,,,,,,,,19.1,212390.66666666666,39547.0,282537.0,15658.0,1.2374262999999999,1.2567031428571427,14698878.0,1366137.0,10940105.0,1497167.0,12466248.0
2020-12-12,202050,X,US,-20.0,-7.714285714285714,-14.571428571428571,-37.42857142857143,-26.285714285714285,9.571428571428571,104.7357142857143,100590.0,605.0,,,,,,,,19.7,223720.0,49166.333333333336,300092.0,17555.0,1.2464803142857142,1.2706474714285716,16217106.0,1518228.0,11248818.0,1506174.0,12784286.0
2020-12-19,202051,X,US,-19.571428571428573,-6.0,-22.0,-37.0,-27.714285714285715,10.428571428571429,106.59571428571428,104348.0,794.0,,,,,,,,18.9,224991.0,48668.666666666664,319297.0,19205.0,1.2674769142857143,1.2842194,17773701.0,1556595.0,10979159.0,1500751.0,12514690.0
2020-12-26,202052,X,US,-22.428571428571427,-2.7142857142857144,-17.428571428571427,-39.142857142857146,-42.57142857142857,12.428571428571429,99.67428571428573,104871.0,874.0,398579.0,,,,,,,19.0,228200.66666666666,50157.333333333336,335832.0,16535.0,1.2567610714285715,1.271763042857143,19142690.0,1368989.0,9630079.0,1340384.0,11004731.0
2021-01-02,202053,X,US,-22.285714285714285,-9.142857142857142,-12.857142857142858,-40.57142857142857,-42.714285714285715,14.285714285714286,103.09714285714286,111218.0,738.0,1601682.0,,,5.5643242,,,,19.5,234580.0,54749.0,354728.0,18896.0,1.5080642,1.5365555000000002,20642491.0,1499801.0,8984910.0,1593193.0,10615051.0
2021-01-09,202101,X,US,-23.0,-10.571428571428571,-22.857142857142858,-38.57142857142857,-27.857142857142858,11.142857142857142,102.43714285714286,117579.0,665.0,2365773.0,1127.0,3.0274144428571432,20.608595585714284,,,,20.7,233590.0,52647.0,377090.0,22362.0,1.3649733857142858,1.3830045857142859,22379069.0,1736578.0,11060902.0,1761810.0,12863595.0
2021-01-16,202102,X,US,-24.857142857142858,-12.571428571428571,-20.857142857142858,-40.0,-28.0,10.714285714285714,103.17285714285714,109783.0,660.0,3469733.0,57517.0,6.886703557142857,21.612254957142856,,,,18.4,234901.0,52791.333333333336,400577.0,23487.0,1.2876038571428572,1.2978384714285713,23943272.0,1564203.0,11063036.0,1453356.0,12555009.0
2021-01-23,202103,X,US,-25.142857142857142,-13.714285714285714,-18.142857142857142,-41.142857142857146,-29.571428571428573,10.714285714285714,104.08428571428573,96413.0,545.0,5422455.0,1010490.0,9.863425757142858,19.67858657142857,,,,15.9,225683.66666666666,44125.333333333336,422374.0,21797.0,1.169960642857143,1.1849623857142857,25167454.0,1224182.0,10635661.0,1182892.0,11860878.0
2021-01-30,202104,X,US,-26.0,-14.428571428571429,-26.285714285714285,-41.42857142857143,-27.571428571428573,10.571428571428571,102.64142857142858,82346.0,593.0,13030902.0,2743488.0,13.412978542857143,18.138561557142857,,,,13.3,215645.0,34695.333333333336,444320.0,21946.0,1.0345806857142856,1.0446632857142857,26225111.0,1057657.0,10288503.0,987257.0,11313963.0
2021-02-06,202105,X,US,-24.285714285714285,-12.714285714285714,-23.0,-40.857142857142854,-27.857142857142858,10.428571428571429,103.21714285714286,70686.0,516.0,20962222.0,5567422.0,17.1878206,16.2163788,,,,11.4,210857.66666666666,29172.666666666668,465750.0,21430.0,0.9699863714285714,0.9939734571428572,27077688.0,852577.0,9782906.0,778647.0,10591596.0
2021-02-13,202106,X,US,-25.285714285714285,-11.0,-28.0,-40.0,-28.142857142857142,10.571428571428571,105.01571428571427,57392.0,482.0,34328102.0,12054623.0,20.716779557142857,14.447331485714287,65.73533628571428,,,8.7,199278.33333333334,19356.666666666668,483363.0,17613.0,0.914012042857143,0.9262969285714285,27738693.0,661005.0,8532396.0,583379.0,9134521.0
2021-02-20,202107,X,US,-28.0,-14.428571428571429,-27.714285714285715,-42.0,-34.714285714285715,13.0,98.83857142857141,47090.0,481.0,41188516.0,17206746.0,24.48156078571429,13.09701522857143,91.95969322857144,,,7.8,196055.0,16107.333333333334,496525.0,13162.0,0.8802007285714286,0.8807258857142857,28212039.0,473346.0,7548550.0,427471.0,7990308.0
2021-02-27,202108,X,US,-17.714285714285715,-9.428571428571429,-10.428571428571429,-34.142857142857146,-24.857142857142858,8.714285714285714,115.14714285714287,42497.0,498.0,47464996.0,22888834.0,27.287905714285714,12.034805971428572,91.37738125714284,,,7.1,189865.33333333334,11212.666666666666,510501.0,13976.0,0.8452389857142857,0.8546820714285714,28695660.0,483621.0,8743154.0,441859.0,9200607.0
2021-03-06,202109,X,US,-15.0,-6.857142857142857,-6.714285714285714,-32.57142857142857,-24.714285714285715,7.714285714285714,119.40285714285713,36184.0,466.0,56253659.0,28928169.0,35.6578537,12.454077157142857,103.70776425714286,6.538592599999999,24.400118242857147,6.2,182784.0,6444.666666666667,522513.0,12012.0,0.8937612571428573,0.9041345285714285,29121187.0,425527.0,8617105.0,378636.0,9009010.0
2021-03-13,202110,X,US,-13.285714285714286,-5.428571428571429,6.285714285714286,-30.285714285714285,-25.142857142857142,7.285714285714286,103.03857142857143,33833.0,425.0,67407260.0,34598390.0,36.924150457142865,9.235464814285715,90.03161154285715,9.439881299999998,35.72190011428572,6.4,178377.66666666666,3885.3333333333335,531175.0,8662.0,0.7778843285714286,0.7864281714285715,29501380.0,380193.0,8259790.0,363550.0,8635914.0
2021-03-20,202111,X,US,-9.428571428571429,-4.571428571428571,0.5714285714285714,-27.857142857142858,-26.285714285714285,7.285714285714286,131.12714285714284,32958.0,416.0,77770168.0,39876847.0,43.60699891428572,8.878596128571427,89.73402451428572,9.804012171428573,36.46030234285714,7.0,174687.66666666666,2025.6666666666667,538276.0,7101.0,0.8155462857142857,0.8272424714285715,29887921.0,386541.0,8035726.0,370498.0,8418151.0
2021-03-27,202112,X,US,-8.428571428571429,-4.142857142857143,13.857142857142858,-25.857142857142858,-24.571428571428573,6.571428571428571,133.89,34383.0,385.0,89776217.0,46056858.0,49.84497918571429,9.048341228571429,89.53787891428571,10.707494228571427,37.2076573,8.1,176455.0,3426.0,545255.0,6979.0,0.8359317571428572,0.8379774285714285,30319392.0,431471.0,8102306.0,420820.0,8536477.0
