date,region,cases
01/02/2020,Region 7,0.0
08/02/2020,Region 7,0.0
15/02/2020,Region 7,0.0
22/02/2020,Region 7,9.368469007562243
29/02/2020,Region 7,8.008108638127187
07/03/2020,Region 7,7.085326204406557
14/03/2020,Region 7,5.3817907334451345
21/03/2020,Region 7,4.670396802971781
28/03/2020,Region 7,2.590977355033547
04/04/2020,Region 7,1.0757339137735906
11/04/2020,Region 7,0.4857089107937677
18/04/2020,Region 7,0.2764037049611996
25/04/2020,Region 7,0.31949431612034307
02/05/2020,Region 7,0.1019156662745116
09/05/2020,Region 7,0.1182318389563087
16/05/2020,Region 7,0.1437498935209542
23/05/2020,Region 7,0.16333547445656565
30/05/2020,Region 7,0.10594202534580047
06/06/2020,Region 7,0.047060604833127184
13/06/2020,Region 7,0.14346616629225228
20/06/2020,Region 7,0.14608634190285977
27/06/2020,Region 7,0.19722669383465097
04/07/2020,Region 7,0.06992829013278762
11/07/2020,Region 7,0.4550893283384555
18/07/2020,Region 7,0.36804950736544595
25/07/2020,Region 7,0.30951607990786983
01/08/2020,Region 7,0.21215211088360758
08/08/2020,Region 7,0.18301855842874448
15/08/2020,Region 7,
22/08/2020,Region 7,
29/08/2020,Region 7,
05/09/2020,Region 7,
12/09/2020,Region 7,0.0
19/09/2020,Region 7,0.0
26/09/2020,Region 7,0.0
03/10/2020,Region 7,0.0
04/01/2020,Region 8,0.0
11/01/2020,Region 8,0.0
18/01/2020,Region 8,0.0
25/01/2020,Region 8,0.0
01/02/2020,Region 8,0.0
08/02/2020,Region 8,0.0
15/02/2020,Region 8,0.0
22/02/2020,Region 8,5.321126202162449
29/02/2020,Region 8,4.806848729662195
07/03/2020,Region 8,4.463725155872956
14/03/2020,Region 8,4.307025030224432
21/03/2020,Region 8,4.1542561098480375
28/03/2020,Region 8,2.78712156876395
04/04/2020,Region 8,1.2722018322359177
11/04/2020,Region 8,0.6586671209773931
18/04/2020,Region 8,0.28148562721763304
25/04/2020,Region 8,0.33016677797035254
02/05/2020,Region 8,0.09001956955014359
09/05/2020,Region 8,0.10477630972130764
16/05/2020,Region 8,0.094221957379255
23/05/2020,Region 8,0.1996816420681688
30/05/2020,Region 8,0.05621286247529919
06/06/2020,Region 8,0.054373100554372465
13/06/2020,Region 8,0.05175340072455565
20/06/2020,Region 8,0.1059557843535802
27/06/2020,Region 8,0.11099928209720941
04/07/2020,Region 8,0.17333371979583262
11/07/2020,Region 8,0.3848697609860336
18/07/2020,Region 8,0.4153553425646033
25/07/2020,Region 8,0.3871884760521972
01/08/2020,Region 8,0.463656557093863
08/08/2020,Region 8,0.1902397695305733
15/08/2020,Region 8,
22/08/2020,Region 8,
29/08/2020,Region 8,
05/09/2020,Region 8,
12/09/2020,Region 8,0.0
19/09/2020,Region 8,0.0
26/09/2020,Region 8,0.0
03/10/2020,Region 8,0.0
04/01/2020,Region 9,0.0
11/01/2020,Region 9,0.0
18/01/2020,Region 9,0.0
25/01/2020,Region 9,0.0
01/02/2020,Region 9,0.0
08/02/2020,Region 9,0.0
15/02/2020,Region 9,0.0
22/02/2020,Region 9,6.673097512784793
29/02/2020,Region 9,5.848112747282327
07/03/2020,Region 9,5.123256617420853
14/03/2020,Region 9,5.379839666598496
21/03/2020,Region 9,4.598603194704854
28/03/2020,Region 9,2.08538405044551
04/04/2020,Region 9,1.1115198949410188
11/04/2020,Region 9,0.7373841593691957
18/04/2020,Region 9,0.6371796421192896
25/04/2020,Region 9,0.6258054026310256
02/05/2020,Region 9,0.5024667622950231
09/05/2020,Region 9,0.5695368777068838
16/05/2020,Region 9,0.1763553061064438
23/05/2020,Region 9,0.4810560907872517
30/05/2020,Region 9,0.46872457764462505
06/06/2020,Region 9,0.48223767313737087
13/06/2020,Region 9,0.5412569500650216
20/06/2020,Region 9,0.29439964794097867
27/06/2020,Region 9,0.3417365302730896
04/07/2020,Region 9,0.43000793554248196
11/07/2020,Region 9,0.4609119845914804
18/07/2020,Region 9,0.46713147966886753
25/07/2020,Region 9,0.5610377967866221
01/08/2020,Region 9,0.5722179966566651
08/08/2020,Region 9,0.367517435914434
15/08/2020,Region 9,
22/08/2020,Region 9,
29/08/2020,Region 9,
05/09/2020,Region 9,
12/09/2020,Region 9,0.0
19/09/2020,Region 9,0.0
26/09/2020,Region 9,0.0
03/10/2020,Region 9,0.0
04/01/2020,Region 10,0.0
11/01/2020,Region 10,0.0
18/01/2020,Region 10,0.0
25/01/2020,Region 10,0.0
01/02/2020,Region 10,0.0
08/02/2020,Region 10,0.0
15/02/2020,Region 10,0.0
22/02/2020,Region 10,5.289594035036201
29/02/2020,Region 10,4.607026031893858
07/03/2020,Region 10,4.824649624415751
14/03/2020,Region 10,4.9145320964978385
21/03/2020,Region 10,4.283229580527349
28/03/2020,Region 10,2.6946447232349513
04/04/2020,Region 10,1.3345007707902699
11/04/2020,Region 10,0.8290257159885555
18/04/2020,Region 10,0.6448193217430891
25/04/2020,Region 10,0.6262695205848375
02/05/2020,Region 10,0.23254104084317337
09/05/2020,Region 10,0.18176821696999806
16/05/2020,Region 10,0.11733335555796608
23/05/2020,Region 10,0.16002764963284208
30/05/2020,Region 10,0.05445059580311989
06/06/2020,Region 10,0.013475435741158615
13/06/2020,Region 10,0.06915232207215918
20/06/2020,Region 10,0.25526833619774647
27/06/2020,Region 10,0.083365047343679
04/07/2020,Region 10,0.1544422692689193
11/07/2020,Region 10,0.2774293513314192
18/07/2020,Region 10,0.1773265365574386
25/07/2020,Region 10,0.28815717531665463
01/08/2020,Region 10,0.3254310036357551
08/08/2020,Region 10,0.4700477638275034
15/08/2020,Region 10,
22/08/2020,Region 10,
29/08/2020,Region 10,
05/09/2020,Region 10,
12/09/2020,Region 10,0.0
19/09/2020,Region 10,0.0
26/09/2020,Region 10,0.0
03/10/2020,Region 10,0.0
