date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-12-05,202049,OK,40,-12.0,-3.5714285714285716,-11.0,-6.0,-20.285714285714285,7.285714285714286,113.51714285714286,2313.0,21.0,,,,,,,,,1162.0,359.0,1874.0,157.0,2.0617825142857145,2.0582447142857143,213245.0,19421.0,18214.0,12801.0,31051.0
2020-12-12,202050,OK,40,-10.142857142857142,-1.0,7.285714285714286,-7.571428571428571,-19.0,6.428571428571429,116.89142857142858,2167.0,10.0,,,,,,,,,1064.0,268.6666666666667,2042.0,168.0,1.931907742857143,1.8370579571428571,233343.0,20098.0,58171.0,20328.0,78574.0
2020-12-19,202051,OK,40,-15.285714285714286,-4.428571428571429,-18.142857142857142,-8.428571428571429,-23.714285714285715,9.142857142857142,110.74,2372.0,21.0,2253.0,,,,,,,,1140.3333333333333,314.3333333333333,2189.0,147.0,2.067598971428571,2.0932045428571433,255941.0,22598.0,58697.0,21806.0,80563.0
2020-12-26,202052,OK,40,-13.0,2.4285714285714284,7.142857142857143,-10.285714285714286,-38.142857142857146,10.0,107.16285714285715,2483.0,17.0,29725.0,,,,,,,,1123.3333333333333,294.0,2357.0,168.0,2.073938814285714,2.120338042857143,276680.0,20739.0,49140.0,18626.0,67814.0
2021-01-02,202053,OK,40,-15.428571428571429,-6.571428571428571,-22.714285714285715,-15.285714285714286,-37.42857142857143,12.714285714285714,105.34857142857143,2701.0,22.0,50330.0,,,8.0488201,24.06771428571428,2.9246074,10.80768087142857,,1174.0,332.0,2527.0,170.0,2.6433065,2.621304214285714,296343.0,19663.0,40960.0,19642.0,60645.0
2021-01-09,202101,OK,40,-11.571428571428571,-5.285714285714286,-20.714285714285715,-8.714285714285714,-20.428571428571427,8.285714285714286,114.21857142857142,2874.0,18.0,50330.0,,4.5568927285714285,30.758412742857146,85.44148007142857,10.200326485714285,33.678955685714286,,1094.3333333333333,271.3333333333333,2738.0,211.0,2.3089157285714283,2.3594893571428575,325277.0,28934.0,53159.0,23151.0,76377.0
2021-01-16,202102,OK,40,-15.142857142857142,-7.857142857142857,-17.142857142857142,-10.857142857142858,-20.571428571428573,7.857142857142857,115.61142857142859,2436.0,7.0,141002.0,28409.0,11.241067514285714,34.08910185714286,87.08313251428571,7.8568973714285715,32.42090857142857,,1148.6666666666667,290.0,2952.0,214.0,2.1231545,2.1385334142857144,352145.0,26868.0,55375.0,17913.0,73345.0
2021-01-23,202103,OK,40,-16.142857142857142,-9.428571428571429,-15.571428571428571,-11.428571428571429,-22.571428571428573,8.142857142857142,116.5042857142857,2031.0,3.0,206507.0,35822.0,15.305719057142857,28.02013841428571,88.21627067142857,7.845089528571428,33.71032831428572,,1161.0,290.6666666666667,3231.0,279.0,1.187500042857143,1.1829408142857143,370751.0,18606.0,51311.0,14937.0,66296.0
2021-01-30,202104,OK,40,-14.428571428571429,-9.285714285714286,-21.857142857142858,-12.0,-19.857142857142858,7.428571428571429,115.77285714285715,1755.0,12.0,256789.0,58245.0,18.3595552,23.778326200000002,87.29026807142859,7.953062542857143,35.51908891428571,,1049.3333333333333,197.33333333333334,3504.0,273.0,1.6827154428571427,1.7512850714285715,387307.0,16556.0,48410.0,12732.0,61170.0
2021-02-06,202105,OK,40,-11.0,-4.285714285714286,-11.285714285714286,-9.142857142857142,-19.142857142857142,6.142857142857143,119.08285714285714,1547.0,12.0,393313.0,114208.0,21.888873557142855,27.206519071428573,86.37492207142859,7.564514271428571,38.947149342857145,,960.6666666666666,120.0,3761.0,257.0,1.4520048714285716,1.4283419285714287,402590.0,15283.0,14996.0,5336.0,20347.0
